Species	Status	min_age	max_age
Paleptesicus	extinct	7.75	8.7
Paleptesicus	extinct	8.7	9.7
Paleptesicus	extinct	8.7	9.7
Paleptesicus	extinct	9.7	11.1
Paleptesicus	extinct	9.7	11.1
Myotis	extant	8.7	9.7
Myotis	extant	8.7	9.7
Myotis	extant	9.7	11.1
Noctilio_lacrimaelunaris	extinct	7.246	11.62
Megaderma_vireti	extinct	7.75	8.7
Rhinolophus_delphinensis	extinct	7.75	8.7
Rhinolophus_grivensis	extant	7.75	8.7
Myotis_boyeri	extinct	7.75	8.7
Myotis	extant	7.75	8.7
Plecotus	extant	7.75	8.7
Megaderma_vireti	extinct	4.9	7.246
Rhinolophus_delphinensis	extinct	4.9	7.246
Rhinolophus_grivensis_lissiensis	extinct	4.9	7.246
Myotis_boyeri	extinct	4.9	7.246
Rhinolophus	extant	0.126	0.781
Hipposideros	extant	0.126	0.781
Miniopterus	extant	0.126	0.781
Miniopterus	extant	0.126	0.781
Miniopterus	extant	0.126	0.781
Chiroptera	extant	0.126	0.781
Chiroptera	extant	0.126	0.781
Myotis	extant	0.781	2.588
Murina	extant	0.781	2.588
Rhinolophus_ferrumequinum	extant	0.781	2.588
Hipposideros	extant	0.781	2.588
Hassianycteris	extinct	47.8	56
Chiroptera	extant	13.65	15.97
Eptesicus	extant	3.2	4.2
Vespertilionidae	extant	11.1	12.75
Vespertilionidae	extant	11.1	12.75
Chiroptera	extant	11.1	12.75
Chiroptera	extant	5.333	23.03
Macroderma	extant	5.333	11.608
Chiroptera	extant	5.333	11.608
Rhinolophus	extant	11.608	23.03
Vespertilionidae	extant	15.97	16.9
Myotis_myotis	extant	0.126	0.781
Rhinolophus_ferrumequinum	extant	0.126	0.781
